TableName,Profile,Last Profile Time
CUSTOMERS_DE,y,2021-08-04T12:04:45.000Z
ORDER_ITEMS,y,2021-08-04T12:04:45.000Z
WAREHOUSES,y,2021-08-04T12:04:45.000Z
PRODUCTS,y,2021-08-04T12:04:45.000Z
ORC_TGT,y,2021-08-04T12:04:45.000Z
COUNTRIES,y,2021-08-04T12:04:45.000Z
PRODUCT_CATEGORIES,y,2021-08-04T12:04:45.000Z
LOCATIONS,y,2021-08-04T12:04:45.000Z
EMPLOYEES_DM,y,2021-08-04T12:04:45.000Z
METRIC_STORE,y,2021-08-04T12:04:45.000Z
INVENTORIES,y,2021-08-04T12:04:45.000Z
NOMURA_DATA,y,2021-08-04T12:04:45.000Z
CUSTOMERS_DM,y,2021-08-04T12:04:45.000Z
REGIONS,y,2021-08-04T12:04:45.000Z
CUSTOMERS_DEMO,y,2021-08-04T12:04:45.000Z
cch,y,2021-08-04T12:04:45.000Z
CUSTOMERS_21,y,2021-08-04T12:04:45.000Z
DD_REGX_DEMO,y,2021-08-04T12:04:45.000Z
cch_ISSUE,y,2021-08-04T12:04:45.000Z
CONTACTS_DM,y,2021-08-04T12:04:45.000Z
CONTACTS,y,2021-08-04T12:04:45.000Z
ORDERS,y,2021-08-04T12:04:45.000Z
CUSTOMERS,y,2021-08-04T12:04:45.000Z
EMPLOYEES,y,2021-08-04T12:04:45.000Z
